epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,2920.34,1.47165,0.75389,1.30582,0.85467,0.87273,0.91991,0.54698,1.40978,1.02993,1.60369,0.0006338,0.0006338,0.0006338
71,2962.55,1.42603,0.74766,1.3049,0.89869,0.98182,0.96966,0.60657,1.39529,0.88472,1.5898,0.000614,0.000614,0.000614
72,3004.3,1.38512,0.74534,1.2835,0.95026,0.98182,0.97861,0.59979,1.35547,0.87854,1.58255,0.0005942,0.0005942,0.0005942
73,3046.01,1.39586,0.72775,1.26189,0.92694,0.92272,0.96766,0.58907,1.36739,0.88624,1.5903,0.0005744,0.0005744,0.0005744
74,3087.85,1.3888,0.72896,1.28098,0.84412,0.88617,0.92837,0.46869,1.67363,1.00791,1.77414,0.0005546,0.0005546,0.0005546
75,3129.72,1.44552,0.75445,1.30557,0.82917,0.81818,0.89937,0.47346,1.6238,1.06603,1.79639,0.0005348,0.0005348,0.0005348
76,3171.64,1.35354,0.72681,1.25519,0.88803,0.86529,0.94212,0.53998,1.43206,0.90581,1.64373,0.000515,0.000515,0.000515
77,3213.14,1.39881,0.72914,1.31943,0.88129,0.87273,0.94349,0.50914,1.55582,0.92149,1.66881,0.0004952,0.0004952,0.0004952
78,3254.86,1.39134,0.72194,1.28209,0.91648,0.96364,0.98165,0.56279,1.44317,0.82461,1.61963,0.0004754,0.0004754,0.0004754
79,3296.63,1.33185,0.70591,1.26659,0.97608,0.98182,0.98705,0.58963,1.36817,0.79924,1.58009,0.0004556,0.0004556,0.0004556
80,3339.25,1.36549,0.68931,1.24715,0.95545,0.94545,0.97624,0.59947,1.34319,0.82459,1.56814,0.0004358,0.0004358,0.0004358
81,3379.83,1.40592,0.72027,1.26508,0.90039,0.89091,0.95251,0.54654,1.45419,0.92255,1.62197,0.000416,0.000416,0.000416
82,3420.48,1.39694,0.71349,1.30316,0.88141,0.94597,0.96636,0.57346,1.39149,0.85047,1.57549,0.0003962,0.0003962,0.0003962
83,3461.13,1.39272,0.69827,1.28225,0.96157,1,0.98487,0.59959,1.38927,0.78552,1.57832,0.0003764,0.0003764,0.0003764
84,3501.77,1.39087,0.71484,1.28244,0.97808,1,0.98429,0.62229,1.28195,0.77452,1.51317,0.0003566,0.0003566,0.0003566
85,3542.42,1.35281,0.67924,1.24777,0.96207,0.98182,0.98176,0.62559,1.23118,0.78561,1.47423,0.0003368,0.0003368,0.0003368
86,3583.11,1.30993,0.6784,1.25353,0.95029,0.94545,0.97518,0.60553,1.27712,0.81639,1.51328,0.000317,0.000317,0.000317
87,3623.92,1.36584,0.69322,1.23892,0.96354,0.96113,0.97945,0.59823,1.30664,0.78559,1.53867,0.0002972,0.0002972,0.0002972
88,3665.84,1.31287,0.68036,1.26129,0.96362,0.94545,0.97879,0.61702,1.27558,0.76827,1.52942,0.0002774,0.0002774,0.0002774
89,3707.72,1.32978,0.67731,1.23993,0.96307,0.94828,0.9748,0.58721,1.32532,0.80965,1.57813,0.0002576,0.0002576,0.0002576
90,3749.55,1.36489,0.67054,1.27184,0.9616,0.91065,0.96498,0.56815,1.36733,0.8395,1.5875,0.0002378,0.0002378,0.0002378
91,3791.23,1.34469,0.72099,1.38715,0.96317,0.95096,0.97645,0.57785,1.35943,0.7812,1.54609,0.000218,0.000218,0.000218
92,3833.34,1.33579,0.68077,1.34107,0.96433,0.9831,0.98174,0.55659,1.38256,0.77012,1.54717,0.0001982,0.0001982,0.0001982
93,3874.83,1.2831,0.68543,1.34867,0.97119,0.98182,0.98412,0.61588,1.30108,0.72392,1.50286,0.0001784,0.0001784,0.0001784
94,3916.32,1.26407,0.64996,1.31773,0.96538,0.98182,0.98432,0.64003,1.25204,0.74055,1.48469,0.0001586,0.0001586,0.0001586
95,3957.88,1.25628,0.64586,1.3161,0.97491,0.98182,0.98194,0.6508,1.2363,0.72773,1.47529,0.0001388,0.0001388,0.0001388
96,3999.71,1.2969,0.65634,1.33214,0.9728,0.98182,0.98029,0.62763,1.25344,0.73014,1.48118,0.000119,0.000119,0.000119
97,4042.27,1.27545,0.63227,1.30851,0.9637,0.96555,0.97988,0.6246,1.26851,0.73636,1.49839,9.92e-05,9.92e-05,9.92e-05
98,4083.81,1.27725,0.64211,1.31379,0.95717,0.98182,0.9795,0.61113,1.29969,0.76508,1.52238,7.94e-05,7.94e-05,7.94e-05
99,4125.26,1.27455,0.64254,1.31096,0.96201,0.98182,0.98067,0.61019,1.30955,0.76545,1.53085,5.96e-05,5.96e-05,5.96e-05
100,4166.74,1.24843,0.65083,1.35398,0.9618,0.98182,0.98155,0.61562,1.29055,0.75734,1.52288,3.98e-05,3.98e-05,3.98e-05
